,year,typeOfEmployment,sex,province,numEmployed
0,1976,Full-time employment,Females,Alberta,217.9
1,1976,Full-time employment,Females,British Columbia,274.6
2,1976,Full-time employment,Females,Manitoba,119.8
3,1976,Full-time employment,Females,New Brunswick,62.7
4,1976,Full-time employment,Females,Newfoundland and Labrador,42.1
5,1976,Full-time employment,Females,Nova Scotia,84.6
6,1976,Full-time employment,Females,Ontario,1084.1
7,1976,Full-time employment,Females,Prince Edward Island,12.7
8,1976,Full-time employment,Females,Quebec,727.0
9,1976,Full-time employment,Females,Saskatchewan,93.3
10,1976,Full-time employment,Males,Alberta,475.8
11,1976,Full-time employment,Males,British Columbia,602.5
12,1976,Full-time employment,Males,Manitoba,249.2
13,1976,Full-time employment,Males,New Brunswick,139.0
14,1976,Full-time employment,Males,Newfoundland and Labrador,107.8
15,1976,Full-time employment,Males,Nova Scotia,180.8
16,1976,Full-time employment,Males,Ontario,2124.9
17,1976,Full-time employment,Males,Prince Edward Island,24.5
18,1976,Full-time employment,Males,Quebec,1588.7
19,1976,Full-time employment,Males,Saskatchewan,218.9
20,1976,Part-time employment ,Females,Alberta,89.2
21,1976,Part-time employment ,Females,British Columbia,104.7
22,1976,Part-time employment ,Females,Manitoba,45.0
23,1976,Part-time employment ,Females,New Brunswick,21.6
24,1976,Part-time employment ,Females,Newfoundland and Labrador,8.6
25,1976,Part-time employment ,Females,Nova Scotia,25.7
26,1976,Part-time employment ,Females,Ontario,342.6
27,1976,Part-time employment ,Females,Prince Edward Island,3.8
28,1976,Part-time employment ,Females,Quebec,152.6
29,1976,Part-time employment ,Females,Saskatchewan,38.6
30,1976,Part-time employment ,Males,Alberta,36.7
31,1976,Part-time employment ,Males,British Columbia,47.9
32,1976,Part-time employment ,Males,Manitoba,13.4
33,1976,Part-time employment ,Males,New Brunswick,6.3
34,1976,Part-time employment ,Males,Newfoundland and Labrador,3.8
35,1976,Part-time employment ,Males,Nova Scotia,11.9
36,1976,Part-time employment ,Males,Ontario,155.7
37,1976,Part-time employment ,Males,Prince Edward Island,1.7
38,1976,Part-time employment ,Males,Quebec,77.2
39,1976,Part-time employment ,Males,Saskatchewan,18.7
40,1977,Full-time employment,Females,Alberta,242.8
41,1977,Full-time employment,Females,British Columbia,287.0
42,1977,Full-time employment,Females,Manitoba,121.1
43,1977,Full-time employment,Females,New Brunswick,61.7
44,1977,Full-time employment,Females,Newfoundland and Labrador,44.0
45,1977,Full-time employment,Females,Nova Scotia,87.6
46,1977,Full-time employment,Females,Ontario,1101.7
47,1977,Full-time employment,Females,Prince Edward Island,12.3
48,1977,Full-time employment,Females,Quebec,755.2
49,1977,Full-time employment,Females,Saskatchewan,96.0
50,1977,Full-time employment,Males,Alberta,519.2
51,1977,Full-time employment,Males,British Columbia,634.6
52,1977,Full-time employment,Males,Manitoba,248.0
53,1977,Full-time employment,Males,New Brunswick,140.6
54,1977,Full-time employment,Males,Newfoundland and Labrador,101.5
55,1977,Full-time employment,Males,Nova Scotia,176.8
56,1977,Full-time employment,Males,Ontario,2149.1
57,1977,Full-time employment,Males,Prince Edward Island,25.1
58,1977,Full-time employment,Males,Quebec,1569.0
59,1977,Full-time employment,Males,Saskatchewan,241.7
60,1977,Part-time employment ,Females,Alberta,91.1
61,1977,Part-time employment ,Females,British Columbia,114.3
62,1977,Part-time employment ,Females,Manitoba,47.9
63,1977,Part-time employment ,Females,New Brunswick,19.2
64,1977,Part-time employment ,Females,Newfoundland and Labrador,8.0
65,1977,Part-time employment ,Females,Nova Scotia,21.1
66,1977,Part-time employment ,Females,Ontario,378.4
67,1977,Part-time employment ,Females,Prince Edward Island,3.9
68,1977,Part-time employment ,Females,Quebec,168.4
69,1977,Part-time employment ,Females,Saskatchewan,34.9
70,1977,Part-time employment ,Males,Alberta,35.3
71,1977,Part-time employment ,Males,British Columbia,49.2
72,1977,Part-time employment ,Males,Manitoba,17.9
73,1977,Part-time employment ,Males,New Brunswick,7.1
74,1977,Part-time employment ,Males,Newfoundland and Labrador,3.5
75,1977,Part-time employment ,Males,Nova Scotia,10.6
76,1977,Part-time employment ,Males,Ontario,147.4
77,1977,Part-time employment ,Males,Prince Edward Island,2.2
78,1977,Part-time employment ,Males,Quebec,78.2
79,1977,Part-time employment ,Males,Saskatchewan,15.6
80,1978,Full-time employment,Females,Alberta,251.1
81,1978,Full-time employment,Females,British Columbia,300.1
82,1978,Full-time employment,Females,Manitoba,123.3
83,1978,Full-time employment,Females,New Brunswick,64.8
84,1978,Full-time employment,Females,Newfoundland and Labrador,49.4
85,1978,Full-time employment,Females,Nova Scotia,86.9
86,1978,Full-time employment,Females,Ontario,1121.4
87,1978,Full-time employment,Females,Prince Edward Island,12.1
88,1978,Full-time employment,Females,Quebec,757.6
89,1978,Full-time employment,Females,Saskatchewan,99.2
90,1978,Full-time employment,Males,Alberta,539.9
91,1978,Full-time employment,Males,British Columbia,644.6
92,1978,Full-time employment,Males,Manitoba,247.5
93,1978,Full-time employment,Males,New Brunswick,141.2
94,1978,Full-time employment,Males,Newfoundland and Labrador,104.2
95,1978,Full-time employment,Males,Nova Scotia,172.4
96,1978,Full-time employment,Males,Ontario,2199.9
97,1978,Full-time employment,Males,Prince Edward Island,25.7
98,1978,Full-time employment,Males,Quebec,1519.3
99,1978,Full-time employment,Males,Saskatchewan,231.6
100,1978,Part-time employment ,Females,Alberta,101.3
101,1978,Part-time employment ,Females,British Columbia,115.5
102,1978,Part-time employment ,Females,Manitoba,47.0
103,1978,Part-time employment ,Females,New Brunswick,18.9
104,1978,Part-time employment ,Females,Newfoundland and Labrador,8.2
105,1978,Part-time employment ,Females,Nova Scotia,26.8
106,1978,Part-time employment ,Females,Ontario,388.9
107,1978,Part-time employment ,Females,Prince Edward Island,4.4
108,1978,Part-time employment ,Females,Quebec,178.8
109,1978,Part-time employment ,Females,Saskatchewan,44.1
110,1978,Part-time employment ,Males,Alberta,35.6
111,1978,Part-time employment ,Males,British Columbia,47.6
112,1978,Part-time employment ,Males,Manitoba,21.2
113,1978,Part-time employment ,Males,New Brunswick,8.0
114,1978,Part-time employment ,Males,Newfoundland and Labrador,3.4
115,1978,Part-time employment ,Males,Nova Scotia,14.5
116,1978,Part-time employment ,Males,Ontario,148.9
117,1978,Part-time employment ,Males,Prince Edward Island,1.8
118,1978,Part-time employment ,Males,Quebec,84.8
119,1978,Part-time employment ,Males,Saskatchewan,21.0
120,1979,Full-time employment,Females,Alberta,276.2
121,1979,Full-time employment,Females,British Columbia,320.7
122,1979,Full-time employment,Females,Manitoba,126.2
123,1979,Full-time employment,Females,New Brunswick,71.4
124,1979,Full-time employment,Females,Newfoundland and Labrador,49.6
125,1979,Full-time employment,Females,Nova Scotia,88.6
126,1979,Full-time employment,Females,Ontario,1200.9
127,1979,Full-time employment,Females,Prince Edward Island,13.1
128,1979,Full-time employment,Females,Quebec,797.0
129,1979,Full-time employment,Females,Saskatchewan,104.7
130,1979,Full-time employment,Males,Alberta,583.9
131,1979,Full-time employment,Males,British Columbia,665.6
132,1979,Full-time employment,Males,Manitoba,255.8
133,1979,Full-time employment,Males,New Brunswick,144.1
134,1979,Full-time employment,Males,Newfoundland and Labrador,105.2
135,1979,Full-time employment,Males,Nova Scotia,184.2
136,1979,Full-time employment,Males,Ontario,2254.1
137,1979,Full-time employment,Males,Prince Edward Island,25.4
138,1979,Full-time employment,Males,Quebec,1567.3
139,1979,Full-time employment,Males,Saskatchewan,240.7
140,1979,Part-time employment ,Females,Alberta,102.8
141,1979,Part-time employment ,Females,British Columbia,129.4
142,1979,Part-time employment ,Females,Manitoba,52.2
143,1979,Part-time employment ,Females,New Brunswick,21.7
144,1979,Part-time employment ,Females,Newfoundland and Labrador,11.6
145,1979,Part-time employment ,Females,Nova Scotia,28.6
146,1979,Part-time employment ,Females,Ontario,408.1
147,1979,Part-time employment ,Females,Prince Edward Island,4.4
148,1979,Part-time employment ,Females,Quebec,192.8
149,1979,Part-time employment ,Females,Saskatchewan,45.1
150,1979,Part-time employment ,Males,Alberta,40.1
151,1979,Part-time employment ,Males,British Columbia,46.4
152,1979,Part-time employment ,Males,Manitoba,20.5
153,1979,Part-time employment ,Males,New Brunswick,9.2
154,1979,Part-time employment ,Males,Newfoundland and Labrador,4.8
155,1979,Part-time employment ,Males,Nova Scotia,11.3
156,1979,Part-time employment ,Males,Ontario,173.6
157,1979,Part-time employment ,Males,Prince Edward Island,2.1
158,1979,Part-time employment ,Males,Quebec,80.9
159,1979,Part-time employment ,Males,Saskatchewan,22.9
160,1980,Full-time employment,Females,Alberta,309.5
161,1980,Full-time employment,Females,British Columbia,319.7
162,1980,Full-time employment,Females,Manitoba,128.0
163,1980,Full-time employment,Females,New Brunswick,73.6
164,1980,Full-time employment,Females,Newfoundland and Labrador,49.8
165,1980,Full-time employment,Females,Nova Scotia,95.7
166,1980,Full-time employment,Females,Ontario,1269.8
167,1980,Full-time employment,Females,Prince Edward Island,14.7
168,1980,Full-time employment,Females,Quebec,818.3
169,1980,Full-time employment,Females,Saskatchewan,106.1
170,1980,Full-time employment,Males,Alberta,615.6
171,1980,Full-time employment,Males,British Columbia,692.3
172,1980,Full-time employment,Males,Manitoba,257.7
173,1980,Full-time employment,Males,New Brunswick,150.7
174,1980,Full-time employment,Males,Newfoundland and Labrador,110.8
175,1980,Full-time employment,Males,Nova Scotia,181.7
176,1980,Full-time employment,Males,Ontario,2286.7
177,1980,Full-time employment,Males,Prince Edward Island,27.1
178,1980,Full-time employment,Males,Quebec,1610.3
179,1980,Full-time employment,Males,Saskatchewan,242.2
180,1980,Part-time employment ,Females,Alberta,110.7
181,1980,Part-time employment ,Females,British Columbia,157.0
182,1980,Part-time employment ,Females,Manitoba,54.2
183,1980,Part-time employment ,Females,New Brunswick,23.6
184,1980,Part-time employment ,Females,Newfoundland and Labrador,12.1
185,1980,Part-time employment ,Females,Nova Scotia,29.8
186,1980,Part-time employment ,Females,Ontario,425.5
187,1980,Part-time employment ,Females,Prince Edward Island,4.6
188,1980,Part-time employment ,Females,Quebec,220.0
189,1980,Part-time employment ,Females,Saskatchewan,50.1
190,1980,Part-time employment ,Males,Alberta,38.5
191,1980,Part-time employment ,Males,British Columbia,53.6
192,1980,Part-time employment ,Males,Manitoba,19.8
193,1980,Part-time employment ,Males,New Brunswick,9.1
194,1980,Part-time employment ,Males,Newfoundland and Labrador,4.7
195,1980,Part-time employment ,Males,Nova Scotia,13.1
196,1980,Part-time employment ,Males,Ontario,164.9
197,1980,Part-time employment ,Males,Prince Edward Island,2.3
198,1980,Part-time employment ,Males,Quebec,104.3
199,1980,Part-time employment ,Males,Saskatchewan,24.2
200,1981,Full-time employment,Females,Alberta,335.9
201,1981,Full-time employment,Females,British Columbia,356.2
202,1981,Full-time employment,Females,Manitoba,132.3
203,1981,Full-time employment,Females,New Brunswick,75.5
204,1981,Full-time employment,Females,Newfoundland and Labrador,58.5
