year,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
1976,10269.5,12736.4,5214.2,2774.2,1910.7,3576.5,44896.3,515.8,30542.6,4586.4
1977,10852.3,13076.0,5257.5,2737.6,1930.8,3577.5,45650.8,522.7,30695.6,4745.4
1978,11521.9,13658.8,5332.7,2869.9,1993.8,3670.5,47092.6,537.6,31180.7,4837.9
1979,12395.2,14262.4,5458.2,3002.8,2121.6,3807.9,49130.6,557.5,32304.6,4996.5
1980,13223.6,15191.300000000001,5545.8,3047.5,2187.5,3891.8,49968.5,572.9,33048.9,5079.6
1981,14198.2,15839.4,5626.0,3094.0,2233.7,3941.7,51504.6,565.2,33477.3,5172.2
1982,13986.6,15049.2,5527.0,2982.8,2173.8,3853.4,50407.2,559.6,31710.3,5163.5
1983,13612.4,14943.4,5615.1,3013.7000000000003,2169.4,3894.9,50990.5,584.6,32221.8,5242.4
1984,13645.8,14938.7,5752.2,3064.2000000000003,2149.2,4077.9,52937.5,594.0,33146.6,5319.4
1985,14075.5,15352.5,5841.9,3144.3,2192.2,4124.5,54920.2,608.5,34177.3,5444.6
1986,14207.6,15977.2,6009.1,3252.2999999999997,2241.8,4207.0,56790.3,626.8,35177.1,5559.4
1987,14256.2,16533.6,6063.3,3363.6,2276.8,4307.0,58750.1,640.7,36248.9,5543.7
1988,14673.9,17218.5,6074.8,3490.5,2394.4,4481.9,60998.4,654.3,36995.9,5554.3
1989,15012.1,18093.7,6154.5,3565.5,2480.1,4581.2,62377.2,660.7,37542.0,5475.6
1990,15307.0,18704.5,6166.5,3604.0,2483.9,4625.3,62330.9,661.0,37668.6,5450.5
1991,15402.3,18922.6,6081.0,3543.2,2459.0,4570.2,60198.6,641.8,37003.5,5441.3
1992,15362.9,19406.0,5999.0,3562.1,2337.4,4428.1,59192.6,643.7,36448.2,5377.2
1993,15474.7,20019.0,6045.1,3598.8,2327.2,4398.7,59271.6,655.8,36397.5,5381.2
1994,15902.7,20925.7,6092.1,3580.4,2323.6,4469.3,60157.3,668.5,37161.2,5452.8
1995,16387.4,21429.5,6196.0,3687.9,2336.4,4511.2,61197.3,685.3,37638.5,5494.3
1996,16857.0,21757.6,6212.3,3670.0,2268.1,4524.8,61986.0,707.2,37586.9,5455.4
1997,17433.0,22314.5,6300.4,3719.6,2270.6,4587.7,63478.7,702.7,38075.0,5573.9
1998,18111.2,22298.7,6417.6,3794.7,2320.6,4752.6,65452.6,714.0,39080.7,5627.4
1999,18532.600000000002,22732.8,6501.9,3910.8,2422.1,4843.7,67639.6,724.0,39945.9,5636.6
2000,19009.2,23177.8,6627.0,3979.9,2388.0,4939.2,69797.2,753.3,40841.3,5675.3
2001,19534.9,23049.8,6596.1,3964.5,2444.2,4985.1,71063.3,764.5,41344.8,5511.3
2002,20073.3,23410.7,6761.8,4100.9,2482.2,5071.2,72395.7,776.9,42747.5,5610.4
2003,20733.1,23969.5,6801.9,4098.1,2525.4,5176.7,74546.1,791.4,43504.9,5709.2
2004,21312.8,24357.8,6871.9,4180.4,2557.6,5300.6,75783.6,799.1,44137.2,5760.0
2005,21856.8,25071.5,6914.9,4161.7,2548.3,5303.0,76573.7,812.3,44494.3,5783.3
2006,22959.8,25693.6,6995.1,4209.2,2571.7,5296.2,77424.8,816.0,44956.4,5895.1
2007,23897.4,26473.2,7106.9,4296.2,2602.6,5369.3,78549.9,821.4,46115.0,6067.8
2008,24632.1,26897.8,7221.7,4325.0,2651.3,5419.1,79310.0,826.9,46553.8,6209.3
2009,24358.1,26324.8,7208.3,4322.5,2579.7,5392.8,77219.2,816.9,46249.5,6310.9
2010,24295.4,26695.2,7308.1,4298.9,2672.5,5414.4,78457.6,837.1,47281.0,6374.9
2011,25202.7,26730.0,7337.7,4268.6,2783.4,5433.0,79897.3,862.4,47738.4,6431.6
2012,26074.6,27147.0,7457.9,4244.0,2886.3,5488.0,80445.9,876.4,48120.8,6590.4
2013,26701.4,27172.2,7512.4,4251.3,2916.3,5432.1,81870.0,891.0,48711.0,6778.7
2014,27280.8,27336.0,7520.8,4242.6,2860.6,5371.1,82528.1,887.1,48685.2,6846.0
2015,27619.9,27695.2,7635.2,4223.8,2831.8,5375.4,83091.8,878.2,49167.9,6884.4
2016,27180.4,28550.399999999998,7600.5,4218.2,2790.9,5352.8,83992.7,858.8,49627.6,6825.3
2017,27461.7,29598.6,7725.8,4235.7,2688.8,5388.8,85525.0,884.5,50704.7,6817.7
2018,27974.1,29923.8,7772.5,4248.3,2699.2,5468.5,86878.2,911.0,51166.6,6850.2
2019,25773.2,28165.9,7188.9,3922.3,2502.5,5126.9,81815.8,853.6,47699.8,6380.9
